"Vendor.Name","Sum(Line.Total)","Mean(Unit.Price)","Count(NIGP.Description)","Count*(Line.Total)","Risk_Level"
"CH BRIGGS",62236.240000000005,1.3086274509803926,102,102,"Low Risk"
"CHARLES RIVER APPAREL",5894.04,297.8770000000001,20,20,"Low Risk"
"CHARTER INDUSTRIES",200579.8364,0.33193995024875617,402,402,"Low Risk"
"CHESAPEAKE PACKAGING PRODUCTS INC",264991.61999999994,127.83435068493152,146,146,"Low Risk"
"CITRON HYGIENE US CORP",5177.5199999999995,196.67692307692315,26,26,"Low Risk"
"CLEAN HARBORS ENVIRONMENTAL SERVICES INC",1312.28,656.14,2,2,"Low Risk"
"COBURN TECHNOLOGIES",1467.02,183.3775,8,8,"Low Risk"
"COMMONWEALTH GALVANIZING COMPANY LLC",63571.864,4.234133333333333,30,30,"Low Risk"
"COMPLETE PRODUCTS",59681.92000000002,212.93087719298248,114,114,"Low Risk"
"CONSOLIDATED MARKETING",167920,83960,2,2,"Low Risk"
"CONSOLIDATED MARKETING LLC",1910,477.5,4,4,"Low Risk"
"CONSOLIDATED SALES & SERVICE LLC",104068.71999999996,291.0680672268906,238,238,"Low Risk"
"CORRUGATED CONTAINER CORP",966583.2519999999,26.61789947089947,378,378,"Low Risk"
"COTSWOLD INDUSTRIES INC",1387162.356,3.1045405405405417,74,74,"Medium Risk"
"COUNTY WASTE",26431.2,3303.8999999999996,8,8,"Low Risk"
"COUNTY WASTE LLC",5625.54,2812.77,2,2,"Low Risk"
"CROWN LIFT TRUCKS",2070,1035,2,2,"Low Risk"
"CSC SALES TEAM LLC.",1529.22,69.62857142857142,14,14,"Low Risk"
"D & L SUPPLY INC",17258.56,59.0022475,8,8,"Low Risk"
"DAC TECHNOLOGIES",909.6,64.27375,16,16,"Low Risk"
"DAC VISION INCORPORATED",7594.699999999999,93.23766666666666,60,60,"Low Risk"
"DACO LIMITED PARTNERSHIP",511351.89999999985,478.07077669902907,206,206,"Low Risk"
"DALY COMPUTERS INC",326390.32,873.171038961039,154,154,"Low Risk"
"DAVIS & GREEN INC",1280,640,2,2,"Low Risk"
"DAVIS PRODUCTS CO",999.82,25.617500000000003,16,16,"Low Risk"
"DBA SMITH CORONA LABELS AND RIBBONS",1242,207,6,6,"Low Risk"
"DELL MARKETING LP",60786.04,768.2286666666668,30,30,"Low Risk"
"DENTAL HEALTH PRODUCTS INC",121.1,10.85,4,4,"Low Risk"
"DEPARTMENT OF GENERAL SERVICES",23046.89999999999,49.99651162790698,86,86,"Low Risk"
"DESIGNTEX",11108,52,4,4,"Low Risk"
"DIAMOND CHEMICAL COMPANY INC.",152900,1.39,4,4,"Low Risk"
"DIAMOND SPRINGS WATER INC",415.59999999999997,51.95,8,8,"Low Risk"
"DIXIE SEWING MACHINE CO INC",21474.26000000001,29.726766467065865,334,334,"Low Risk"
"DLW INC",178848,283.44444444444446,18,18,"Low Risk"
"DOCUMENT DESTRUCTION OF VIRGINIA LLC",14947.2,2491.2000000000003,6,6,"Low Risk"
"DOMESTIC UNIFORM RENTAL",41456,482.0465116279071,86,86,"Low Risk"
"DOMINION CHEMICAL COMPANY",2376,148.5,2,2,"Low Risk"
"DOUG MOCKETT & CO",3448.8,287.4,2,2,"Low Risk"
"DOUGLASS INDUSTRIES, INC.",97458.269,23.190000000000005,36,36,"Low Risk"
"DUNLAP INDUSTRIES INC",103139.76000000001,0.4051793103448275,58,58,"Low Risk"
"DXI CONSTRUCTION INC",132,33,2,2,"Low Risk"
"DYNA-MIX INCORPORATED",212376.23199999996,3.1684285714285716,14,14,"Low Risk"
"E R ABERNATHY INDUSTRIAL INC",31820.1,129.35,4,4,"Low Risk"
"EAGLE FIRE INC.",4925,820.8333333333333,6,6,"Low Risk"
"EAHEART INDUSTRIAL SERVICE INC",50952.52,440.0644642857142,112,112,"Low Risk"
"EAST COAST EMERGENCY VEHICLES LLC",247043.09999999998,2337.4500000000003,20,20,"Low Risk"
"EASTMAN CHEMICAL COMPANY/DBA CP FILMS, INC.",7848,3.27,4,4,"Low Risk"
"EDMUNDS WASTE REMOVAL INC",1829.72,88.44444444444443,18,18,"Low Risk"
"EDWARDS BUSINESS MACHINES  INC",145510.24,18188.78,8,8,"Low Risk"
"EDWARDS GARMENT COMPANY",5547.639999999999,117.41684210526314,38,38,"Low Risk"
"EIGHT TO EIGHTY EYEWEAR",9613.5,3.5823529411764703,34,34,"Low Risk"
"ELEGANT DRAPERIES LTD",27331.9,90.41428571428571,14,14,"Low Risk"
"ELITE TEXTILE TRADING LLC",348294.858,3.4888888888888885,18,18,"Low Risk"
"ENTERPRISE LEASING CO OF NORFOLK RICHMON",280000,1,12,12,"Low Risk"
"ENTHALPY ANALYTICAL",148.32,74.16,2,2,"Low Risk"
"ENVIROCOMPLIANCE LABORATORIES, INC.",540,135,6,6,"Low Risk"
"ENVIROSERVE CHEMICALS INC",21376.720000000005,656.585,20,20,"Low Risk"
"EREPLACEMENTPARTS COM",1554,52.02,10,10,"Low Risk"
"EXPRESS ELECTRIC COMPANY",2050,1025,2,2,"Low Risk"
"FARCO PLASTICS",14983.2,2.7356249999999998,4,4,"Low Risk"
"FASTENAL COMPANY",5748.6579999999985,13.121400000000001,36,36,"Low Risk"
"FAYES OFFICE SUPPLY",2021.52,66.465,4,4,"Low Risk"
"FEA INDUSTRIES INC",1396311.8016599081,15.614989118340384,8484,8484,"Medium Risk"
"FERRELLGAS LP",60007.995,1462.72,40,40,"Low Risk"
"FIDELITY PRINTING INC",7424.6,265.16428571428565,28,28,"Low Risk"
"FINISH LINE DIE CUTTING LLC",124144,583.2892079207924,202,202,"Low Risk"
"FIRST PIEDMONT CORPORATION",2403.58,198.84,8,8,"Low Risk"
"FOSTER FUELS INC",129359.11309999997,1678.5274005263157,76,76,"Low Risk"
"FOUR SEASON RECYCLING & TRADING LLC",3400,260.8333333333333,12,12,"Low Risk"
"FREE RECYCLING QUOTES",2000,1000,2,2,"Low Risk"
"FULTERER USA",23100,10.655,4,4,"Low Risk"
"G A BRAUN INC",11479.059999999996,171.77375000000004,48,48,"Low Risk"
"G GOLDBERG CO INC",24387.75,3.0155999999999996,10,10,"Low Risk"
"GAME SPORTSWEAR LTD",658.14,31.66142857142857,14,14,"Low Risk"
"GENUINE PARTS CO",457.44,9.53,4,4,"Low Risk"
"GERICHARDS GRAPHIC SUPPLIES OF VA INC",32620.04,502.084761904762,42,42,"Low Risk"
"GFL HOLDCO US LLC",31370.78,2240.7700000000004,14,14,"Low Risk"
"GLOBAL INDUSTRIAL EQUIPMENT CO",4376.2,481.775,4,4,"Low Risk"
"GRANTS GLASS INC",5984,8.5,2,2,"Low Risk"
"GRAPHIC ENTERPRISES INC",91.34,45.67,2,2,"Low Risk"
"GRAPHIC SIGN WORX LLC",13841.28,0.00801,2,2,"Low Risk"
"GRUBB PRINTING & STAMP COMPANY",39.879999999999995,9.969999999999999,4,4,"Low Risk"
"HACKWORTH REPROGRAPHICS INC",1100,150,4,4,"Low Risk"
"HAFELE AMERICA CO",352007.0655999998,3.741455116279072,258,258,"Low Risk"
"HARODITE INDUSTRIES INC",63078.12400000001,2.098736153846154,26,26,"Low Risk"
"HART SPECIALTIES INC",55576.5,3.95,440,440,"Low Risk"
"HEIDELBERG USA",59916.86,597.222,10,10,"Low Risk"
"HENDERSON SEWING MACHINE CO INC",44458.65999999997,39.50816618911171,698,698,"Low Risk"
"HENRY SCHEIN INC",9516.679999999997,50.07228571428572,70,70,"Low Risk"
"HICKORY BRANDS INC",2080.8,0.17,2,2,"Low Risk"
"HIRSCH SOLUTIONS INC",6855.7,571.3083333333334,12,12,"Low Risk"
"HIT PROMOTIONAL PRODUCTS INC",65334.93999999998,143.65791304347826,46,46,"Low Risk"
"HOMESTEAD MATERIALS HANDLING CO.",1968.5000000000002,19.946428571428566,14,14,"Low Risk"
"HOOD CONTAINER CORPORATION",38815.060000000005,0.6,14,14,"Low Risk"
"HOOD INDUSTRIES INC",62093.4727,1.3739864,100,100,"Low Risk"
"HOWARD INDUSTRIES",178923.97999999992,309.88249999999994,112,112,"Low Risk"
"HOWARD UNIFORM COMPANY",4053.1200000000003,42.22,10,10,"Low Risk"
"HOYA OPTICAL LABS OF AMERICA",14046.4,8.783157894736844,38,38,"Low Risk"
"HUMANSCALE CORPORATION",32717.5,632.6681818181818,22,22,"Low Risk"
"HUNKAR DATA & BAR CODE SYSTEMS INC",10828.524,50.432500000000005,40,40,"Low Risk"
"HYDRAULIC EQUIPMENT SERVICE COMPANY, INC",22854,5713.5,4,4,"Low Risk"
"INDUSTRIAL PRODUCTS AND SALES",7428,72.25,4,4,"Low Risk"
"INGERSOLL-RAND CO",2040,195.25000000000003,8,8,"Low Risk"
"INK SYSTEMS LLC",86.4,43.2,2,2,"Low Risk"
"INK2WORK LLC",48464.34,24232.17,2,2,"Low Risk"
"INKCUPS",248095.27999999997,775.0438686131384,274,274,"Low Risk"
"INSPIRED ELECTRICAL SOLUTIONS INC",6165.76,3082.88,2,2,"Low Risk"
"INSTALLATION SERVICES AND DELIVERY INC",339496,2829.133333333335,120,120,"Low Risk"
"INTERNATIONAL PAPER COMPANY",242.82,60.705,4,4,"Low Risk"
"INTERSTATE NARROW FABRICS, INC.",19200,1.2,2,2,"Low Risk"
"INTOPRINT TECHNOLOGIES INC",57560.85999999999,423.1989065853657,82,82,"Low Risk"
"JACK L MARCUS INC",24470.12,196.87486956521744,46,46,"Low Risk"
"JAG TEXTILE COMPANY",2017172.6498,24.277987090909093,110,110,"Medium Risk"
"JOHN E FOX INC",221409.76000000013,155.8679288702928,956,956,"Low Risk"
"JOHN E PEARSON",0,34.7,2,2,"Low Risk"
"JOHN R WALD COMPANY INC",287670.27999999985,288.7436220472441,254,254,"Low Risk"
"JOHNSON PLASTICS",1859.88,0.5166333333333333,6,6,"Low Risk"
"JUPITER ALUMINUM CORP",3602953.7999999984,1.053495263157895,38,38,"High Risk"
"KENT ADHESIVE PRODUCTS COMPANY",42889.67599999999,69.78049999999999,20,20,"Low Risk"
"KNOLL",590,33.666666666666664,6,6,"Low Risk"
"KOMO MACHINE INC",24283.38,12141.69,2,2,"Low Risk"
"KONICA MINOLTA BUSINESS SOLUTIONS USA",2910.42,139.5175,16,16,"Low Risk"
"KRUEGER INTERNATIONAL INC",13163045.98,218669.12799999994,60,60,"High Risk"
"KRUEGER INTERNATIONAL, INC.",25237.620000000003,148.365,8,8,"Low Risk"
"LD PRODUCTS INC DBA 4INKJETS COM",839.76,18.66,22,22,"Low Risk"
"LEE SPRING COMPANY LLC",2161.088,5.40272,4,4,"Low Risk"
"LEGGETT & PLATT INC",4938.32,302.38666666666666,6,6,"Low Risk"
"LIGHT CORPORATION",80314.93999999999,79.80687500000002,32,32,"Low Risk"
"LINDENMEYR MUNROE",7382.7,0.5679,2,2,"Low Risk"
"LINEAGE MECHANICAL LLC",4456,659,4,4,"Low Risk"
"LINKS CONTRACT FURNITURE INC",663280.9561399979,295.0823231666674,1560,1560,"Low Risk"
"LOADING DOCK EQUIPMENT CO INC",2840,710,4,4,"Low Risk"
"LUNDER MAUFACTURING INC",47248,0.8025,8,8,"Low Risk"
"MAGILL SERVICES INC",1140,570,2,2,"Low Risk"
"MAHARAM",319602.39999999997,50.755,80,80,"Low Risk"
"MAIL CALL DIRECT LLC",37157.56,530.8222857142857,70,70,"Low Risk"
"MANSFIELD OIL COMPANY",491189.8765199999,544.1049709836066,122,122,"Low Risk"
"MAYER-PAETZ INC",542778.5935000001,21.18119856164384,584,584,"Low Risk"
"MCCLURE INDUSTRIES INC",19458.3,559.6382352941176,34,34,"Low Risk"
"MCGEE INDUSTRIES INC",2494.2000000000003,136.52499999999998,8,8,"Low Risk"
"MCMASTER-CARR SUPPLY CO",2024.5200000000004,43.09733333333334,30,30,"Low Risk"
"MERIDIAN WASTE VIRGINIA",44244.840000000004,2194.1879999999996,20,20,"Low Risk"
