"Vendor.Name","Sum(Line.Total)","Mean(Unit.Price)","Count(NIGP.Description)","Count*(Line.Total)","Risk_Level"
"VEOLIA ENVIRONNEMENT NORTH AMERICA OPERA",120,60,2,2,"Low Risk"
"VEOLIA ES TECHNICAL SOLUTIONS LLC",1323.12,140.52,6,6,"Low Risk"
"VIRGINIA BUSINESS SYSTEMS",51725.64,12931.41,4,4,"Low Risk"
"VIRGINIA BUSINESS SYSTEMS - RICHMOND",825539.7040000001,13367.980125,16,16,"Low Risk"
"VIRGINIA DISTRIBUTION CENTER - VDC - DGS",133525.20000000024,48.19492072463767,552,552,"Low Risk"
"VIRGINIA DRY CLEANING EQUIPMENT, INC.",24454.66,143.8663333333333,24,24,"Low Risk"
"VIRGINIA INTERACTIVE LLC",62678,3917.3750000000005,16,16,"Low Risk"
"VIRGINIA TRAILER RENTALS",200000,1,4,4,"Low Risk"
"VMI FURNITURE SOLUTIONS",375727.1,4943.77763157895,76,76,"Low Risk"
"W W GRAINGER INC",373062.1864000005,58.67025631868137,2912,2912,"Low Risk"
"WATER GUARD",21924,14.5,2,2,"Low Risk"
"WATSON MACHINE CORPORATION",824984.8200000001,51126.86,16,16,"Low Risk"
"WESLEY ENTERPRISES INC",84,42,2,2,"Low Risk"
"WISE MANUFACTURING INC",16153.6,8076.8,2,2,"Low Risk"
"WOLF GORDON",4316.4,59.95,2,2,"Low Risk"
"WORKWEAR OUTFITTERS LLC",872599.8400000008,135.50706864563975,1078,1078,"Low Risk"
"WURTH WOOD GROUP DBA PLYWOOD & PLASTICS",389289.76000000024,1.6617794759825324,458,458,"Low Risk"
"XL4U LLC",408,204,2,2,"Low Risk"
"Z & T SALES LLC",238122.93600000002,66.29097560975607,82,82,"Low Risk"
